"equipe","serie","pts","pts.sofridos","posses"
"BAU","bronze",774,766,888.64
"BOT","prata",915,863,917.6
"BRA","prata",823,821,953.88
"CAP","ouro",990,648,899.6
"CAX","prata",977,855,946.96
"CEA","bronze",601,1029,955.36
"CER","bronze",854,907,965.6
"CMO","bronze",764,921,946.24
"COR","ouro",1052,809,965.4
"CRU","ouro",995,693,932.68
"FLA","ouro",995,815,969.52
"FRA","ouro",868,739,892.2
"IVV","prata",739,788,905.4
"LDPG","prata",925,833,942.28
"MIN","ouro",972,769,938.44
"MOG","prata",965,805,919.84
"PAT","bronze",746,907,932.72
"PIN","ouro",1072,709,973.52
"SJO","ouro",1023,769,921
"SPFC","prata",984,938,1000.72
"THA","prata",830,878,991.56
"UCO","bronze",713,947,928.88
"UFC","bronze",647,1042,984.04
"VAS","bronze",752,809,891.64
