Temporada;Data;Equipe;Oponente;DFP;Desfecho;PTS;A2C;A2T;A3C;A3T;LLC;LLT;AST;RBO;RBD;RB;BLQ;ERR;FC;FR;PTSo;Volume
2023/24;13/06/2024;FLA;FRA;10;D;59;16;36;3;32;18;20;16;17;24;7;1;11;17;21;69;188
2023/24;13/06/2024;FRA;FLA;10;V;69;12;22;13;27;6;10;20;1;33;4;4;19;22;16;59;135
2023/24;08/06/2024;FRA;FLA;8;V;81;22;34;6;28;19;22;16;14;28;6;4;16;18;20;73;174
2023/24;08/06/2024;FLA;FRA;8;D;73;10;27;14;37;11;11;16;12;21;11;1;14;21;18;81;176
2023/24;06/06/2024;FRA;FLA;8;D;68;14;28;10;29;10;11;16;5;22;7;0;12;21;20;76;154
2023/24;06/06/2024;FLA;FRA;8;V;76;15;28;11;26;13;18;16;7;27;8;0;15;20;21;68;152
2023/24;01/06/2024;FLA;FRA;13;D;56;13;26;7;34;9;13;19;10;24;4;2;12;21;20;69;167
2023/24;01/06/2024;FRA;FLA;13;V;69;13;28;9;29;16;17;16;11;31;6;2;14;20;21;56;160
2023/24;27/05/2024;FRA;MIN;6;V;82;21;36;8;21;16;20;13;9;26;2;0;10;20;22;76;155
2023/24;27/05/2024;MIN;FRA;6;D;76;16;32;11;30;11;14;14;8;21;4;4;9;22;20;82;168
2023/24;25/05/2024;FRA;MIN;2;D;91;19;43;11;31;20;24;24;12;33;9;5;16;18;22;93;203
2023/24;25/05/2024;MIN;FRA;2;V;93;28;53;8;32;13;16;20;16;33;9;2;15;23;18;91;218
2023/24;23/05/2024;BAU;FLA;38;D;72;19;28;8;27;10;11;20;3;17;6;2;20;17;16;110;148
2023/24;23/05/2024;FLA;BAU;38;V;110;26;35;13;28;19;24;33;10;26;14;1;13;17;17;72;178
2023/24;21/05/2024;BAU;FLA;23;D;65;18;33;5;25;14;20;20;4;21;9;4;14;20;19;88;161
2023/24;21/05/2024;FLA;BAU;23;V;88;18;29;11;25;19;25;25;4;35;7;1;20;19;20;65;158
2023/24;18/05/2024;FLA;BAU;31;V;92;23;46;12;32;10;19;26;18;27;15;0;7;20;16;61;207
2023/24;18/05/2024;BAU;FLA;31;D;61;15;27;5;23;16;20;17;4;30;5;4;20;17;20;92;143
2023/24;22/05/2024;MIN;FRA;10;D;72;15;30;9;27;15;19;16;8;20;10;5;15;21;20;82;160
2023/24;22/05/2024;FRA;MIN;10;V;82;22;43;7;20;17;21;21;13;26;8;3;13;20;21;72;167
2023/24;20/05/2024;MIN;FRA;13;V;80;16;33;12;33;12;17;19;12;29;10;3;9;17;20;67;182
2023/24;20/05/2024;FRA;MIN;13;D;67;17;34;8;27;9;12;18;10;30;5;1;13;20;17;80;161
2023/24;17/05/2024;FRA;MIN;24;V;87;22;48;8;25;19;22;16;13;30;11;2;6;23;18;63;193
2023/24;17/05/2024;MIN;FRA;24;D;63;16;39;5;19;16;19;12;9;30;2;1;18;20;23;87;154
2023/24;14/05/2024;VAS;BAU;3;D;73;18;35;7;27;16;24;12;12;27;4;3;12;20;22;76;175
2023/24;14/05/2024;BAU;VAS;3;V;76;21;41;6;23;16;18;12;10;28;6;1;8;22;20;73;169
2023/24;13/05/2024;MIN;SAO;31;V;98;22;38;13;38;15;22;27;21;33;4;2;8;22;17;67;212
2023/24;13/05/2024;SAO;MIN;31;D;67;17;39;6;21;15;20;11;8;25;2;1;8;17;22;98;161
2023/24;12/05/2024;VAS;BAU;8;V;95;21;35;10;28;23;29;20;9;32;7;3;15;20;24;87;183
2023/24;12/05/2024;BAU;VAS;8;D;87;25;38;7;31;16;20;13;7;26;10;3;9;24;20;95;189
2023/24;11/05/2024;MIN;SAO;25;V;104;19;31;17;32;15;22;23;8;22;9;4;10;22;21;79;180
2023/24;11/05/2024;SAO;MIN;25;D;79;22;34;7;20;14;18;15;5;20;6;3;22;23;21;104;146
2023/24;09/05/2024;BAU;VAS;8;V;67;17;26;6;35;15;17;15;10;31;8;2;13;20;19;59;174
2023/24;09/05/2024;VAS;BAU;8;D;59;11;22;7;29;16;27;12;8;26;5;3;13;20;20;67;158
2023/24;07/05/2024;BAU;VAS;14;V;80;18;32;10;25;14;17;17;7;22;11;1;22;27;20;66;156
2023/24;07/05/2024;VAS;BAU;14;D;66;11;24;7;22;23;34;14;10;24;12;2;26;21;27;80;148
2023/24;04/05/2024;VAS;BAU;6;V;84;18;37;8;27;24;31;15;9;28;8;2;13;20;28;78;186
2023/24;04/05/2024;BAU;VAS;6;D;78;19;43;8;27;16;19;17;14;32;7;4;17;29;20;84;186
2023/24;09/05/2024;FOR;FLA;15;D;68;17;33;8;31;10;14;11;13;27;5;2;13;22;15;83;173
2023/24;09/05/2024;FLA;FOR;15;V;83;19;34;10;26;15;27;19;10;28;9;1;6;15;22;68;173
